Fecha;Dias;Kwh;Potencia;id_tarifa;Peaje;id_periodo_tarifario;€/kw/dia;€/Kwh;Descuento
2025-08-01;31;0;16.44;1;3.0 TD;1;0.05772;0.235759;0.85
2025-08-01;31;0;16.44;1;3.0 TD;2;0.030776;0.235759;0.85
2025-08-01;31;154;16.44;1;3.0 TD;3;0.013535;0.235759;0.85
2025-08-01;31;122;16.44;1;3.0 TD;4;0.011859;0.235759;0.85
2025-08-01;31;0;16.44;1;3.0 TD;5;0.007895;0.235759;0.85
2025-08-01;31;362;16.44;1;3.0 TD;6;0.005103;0.235759;0.85
2025-09-01;30;0;16.44;1;3.0 TD;1;0.05772;0.235759;0.85
2025-09-01;30;0;16.44;1;3.0 TD;2;0.030776;0.235759;0.85
2025-09-01;30;104;16.44;1;3.0 TD;3;0.013535;0.235759;0.85
2025-09-01;30;68;16.44;1;3.0 TD;4;0.011859;0.235759;0.85
2025-09-01;30;0;16.44;1;3.0 TD;5;0.007895;0.235759;0.85
2025-09-01;30;165;16.44;1;3.0 TD;6;0.005103;0.235759;0.85
2025-10-01;31;0;16.44;1;3.0 TD;1;0.05772;0.235759;0.85
2025-10-01;31;0;16.44;1;3.0 TD;2;0.030776;0.235759;0.85
2025-10-01;31;0;16.44;1;3.0 TD;3;0.013535;0.235759;0.85
2025-10-01;31;122;16.44;1;3.0 TD;4;0.011859;0.235759;0.85
2025-10-01;31;71;16.44;1;3.0 TD;5;0.007895;0.235759;0.85
2025-10-01;31;120;16.44;1;3.0 TD;6;0.005103;0.235759;0.85
2025-11-01;30;0;16.44;1;3.0 TD;1;0.05772;0.235759;0.85
2025-11-01;30;124;16.44;1;3.0 TD;2;0.030776;0.235759;0.85
2025-11-01;30;43;16.44;1;3.0 TD;3;0.013535;0.235759;0.85
2025-11-01;30;0;16.44;1;3.0 TD;4;0.011859;0.235759;0.85
2025-11-01;30;0;16.44;1;3.0 TD;5;0.007895;0.235759;0.85
2025-11-01;30;166;16.44;1;3.0 TD;6;0.005103;0.235759;0.85
2025-12-01;31;151;16.44;1;3.0 TD;1;0.05772;0.235759;0.85
2025-12-01;31;69;16.44;1;3.0 TD;2;0.030776;0.235759;0.85
2025-12-01;31;0;16.44;1;3.0 TD;3;0.013535;0.235759;0.85
2025-12-01;31;0;16.44;1;3.0 TD;4;0.011859;0.235759;0.85
2025-12-01;31;0;16.44;1;3.0 TD;5;0.007895;0.235759;0.85
2025-12-01;31;149;16.44;1;3.0 TD;6;0.005103;0.235759;0.85
2025-01-01;31;287;10;2;2.0 TD SDH;1;0.093666;0.15799;
2025-02-01;28;275;10;2;2.0 TD SDH;1;0.093666;0.15799;
2025-03-01;31;257;10;2;2.0 TD SDH;1;0.093666;0.15799;
2025-04-01;30;262;10;2;2.0 TD SDH;1;0.093666;0.15799;
2025-05-01;31;240;10;2;2.0 TD SDH;1;0.093666;0.15799;
2025-06-01;30;292;10;2;2.0 TD SDH;1;0.093666;0.15799;
2025-07-01;31;332;10;2;2.0 TD SDH;1;0.093666;0.15799;
2025-08-01;31;638;10;2;2.0 TD SDH;1;0.093666;0.15799;
2025-09-01;30;337;10;2;2.0 TD SDH;1;0.093666;0.15799;
2025-10-01;31;313;10;2;2.0 TD SDH;1;0.093666;0.15799;
2025-11-01;30;333;10;2;2.0 TD SDH;1;0.093666;0.15799;
2025-12-01;31;369;10;2;2.0 TD SDH;1;0.093666;0.15799;
2025-01-01;31;99;10;3;2.0 TD DH;1;0.0937;0.2252;
2025-01-01;31;69;10;3;2.0 TD DH;2;0.0937;0.148;
2025-01-01;31;119;10;3;2.0 TD DH;3;0.0937;0.1147;
2025-02-01;28;111.556;10;3;2.0 TD DH;1;0.0937;0.2252;
2025-02-01;28;75.445;10;3;2.0 TD DH;2;0.0937;0.148;
2025-02-01;28;87.997;10;3;2.0 TD DH;3;0.0937;0.1147;
2025-03-01;31;90;10;3;2.0 TD DH;1;0.0937;0.2252;
2025-03-01;31;58;10;3;2.0 TD DH;2;0.0937;0.148;
2025-03-01;31;109;10;3;2.0 TD DH;3;0.0937;0.1147;
2025-04-01;30;90;10;3;2.0 TD DH;1;0.0937;0.2252;
2025-04-01;30;72;10;3;2.0 TD DH;2;0.0937;0.148;
2025-04-01;30;100;10;3;2.0 TD DH;3;0.0937;0.1147;
2025-05-01;31;80;10;3;2.0 TD DH;1;0.0937;0.2252;
2025-05-01;31;51;10;3;2.0 TD DH;2;0.0937;0.148;
2025-05-01;31;109;10;3;2.0 TD DH;3;0.0937;0.1147;
2025-06-01;30;91;10;3;2.0 TD DH;1;0.0937;0.2252;
2025-06-01;30;70;10;3;2.0 TD DH;2;0.0937;0.148;
2025-06-01;30;131;10;3;2.0 TD DH;3;0.0937;0.1147;
2025-07-01;31;104;10;3;2.0 TD DH;1;0.0937;0.2252;
2025-07-01;31;80;10;3;2.0 TD DH;2;0.0937;0.148;
2025-07-01;31;148;10;3;2.0 TD DH;3;0.0937;0.1147;
2025-08-01;31;142;10;3;2.0 TD DH;1;0.0937;0.2252;
2025-08-01;31;134;10;3;2.0 TD DH;2;0.0937;0.148;
2025-08-01;31;362;10;3;2.0 TD DH;3;0.0937;0.1147;
2025-09-01;30;92;10;3;2.0 TD DH;1;0.0937;0.2252;
2025-09-01;30;80;10;3;2.0 TD DH;2;0.0937;0.148;
2025-09-01;30;165;10;3;2.0 TD DH;3;0.0937;0.1147;
2025-10-01;31;106.705;10;3;2.0 TD DH;1;0.0937;0.2252;
2025-10-01;31;86.292;10;3;2.0 TD DH;2;0.0937;0.148;
2025-10-01;31;119.999;10;3;2.0 TD DH;3;0.0937;0.1147;
2025-11-01;30;111.999;10;3;2.0 TD DH;1;0.0937;0.2252;
2025-11-01;30;55;10;3;2.0 TD DH;2;0.0937;0.148;
2025-11-01;30;165.984;10;3;2.0 TD DH;3;0.0937;0.1147;
2025-12-01;31;127.025;10;3;2.0 TD DH;1;0.0937;0.2252;
2025-12-01;31;92.975;10;3;2.0 TD DH;2;0.0937;0.148;
2025-12-01;31;148.999;10;3;2.0 TD DH;3;0.0937;0.1147;
